Date,Day,Status,In Time,Out Time,Total Hours,Total Attendance Hours,Total Time Sheet Hours,Attendance status implying leave debit
20-Nov-14,Thursday,Present,10:01,19:09,9.13,9.13,NA,No leave debit
21-Nov-14,Friday,Present,10:04,18:58,8.9,8.9,NA,No leave debit
22-Nov-14,Saturday,Weekly Off,--,--,--,0,NA,NA
23-Nov-14,Sunday,Weekly Off,--,--,--,0,NA,NA
24-Nov-14,Monday,Present,9:33,19:53,10.33,10.33,NA,No leave debit
25-Nov-14,Tuesday,Earned Leave,--,--,--,0,8:48,NA
26-Nov-14,Wednesday,Earned Leave,--,--,--,0,8:48,NA
27-Nov-14,Thursday,Present,8:24,18:24,10,10,NA,No leave debit
28-Nov-14,Friday,Present,8:29,18:40,10.18,10.18,NA,No leave debit
29-Nov-14,Saturday,Weekly Off,--,--,--,0,NA,NA
30-Nov-14,Sunday,Weekly Off,--,--,--,0,NA,NA
1-Dec-14,Monday,Present,8:39,18:34,9.92,9.92,NA,No leave debit
2-Dec-14,Tuesday,Present,8:55,18:28,9.55,9.55,NA,No leave debit
